 Choice 1, Choice 1 RT, Choice 2, Choice 2 RT, Choosing For, Computer Response, Decision Rating , Item Option, Money Option, PostChoiceRT, Selected Option Rating, Trial Options,Familiarity,Item,Rating,Trial Type
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,1.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\homefree_chocolatechip_minicookies.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\kar's_sweet'n spicy_mix.jpg,1.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,4.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\eatrageous_sea_salt.jpg,1.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\austin_peanut butter_cheese cracker.jpg,1.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\quakers_popped_rice_crisps.jpg,2.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\mini_fudge_stripes.jpg,4.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\special_k_pastry_crisps_blueberry.jpg,4.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\m&m's_peanut.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\cheez itz_original.jpg,7.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\nutrigrain_strawberry_bar.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\cloverhill_cheese_danish.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\planters_salted_cashews.jpg,1.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\lance_toast_cheese_with_pb.JPG,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\homefree_doublechocolatechip_minicookies.jpg,1.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\nabisco_nutter butter_bites.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\nature_valley_granola_cups_almond_butter.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\kind_almond_butter.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\planters_salted_peanuts.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\snyders_mini_pretzels.jpg,4.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\eatrageous_wasabi_ranch.jpg,1.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\popchips_barbeque.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\sensible_portions_cinnamon_apple_straws.jpg,1.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,2.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\kettle_jalepeno.jpg,6.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,7.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\welch's_berry.jpg,3.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\nature_valley_sweet_and_salty.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\annie's_honey_bunny_grahams.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\nature_valley_granola_cups_peanut_butter.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\krave_jerky_sweet_chipotle.jpg,1.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\popchips_sour_cream_and_onion.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\lance_captain_wafers_with_honey_and_pb.JPG,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\basil_vanilla.jpg,1.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,7.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\austin_choco creme_choc cookies.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\grandmas_vanilla sandwhich creme_cookies.jpg,2.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\nabisco_mini_ritz.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\brookside_fruit and nut_bar.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\luke's_organic_chips.jpg,5.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\baked_lays_sour cream and onion.jpg,2.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\combos_cheddar cheese_pretzel.jpg,2.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\nature_valley_chewy.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\starburst_verry berry_candy.jpg,6.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg,7.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\larabar_cashew_cookie_bar.jpg,2.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\ritz_toasted_chips.jpg,2.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,6.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\krave_jerky_original.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\cascadian_farm_granola.jpg,1.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\sunchips_harvest cheddar_chips.jpg,3.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\mini_cheese_nips.jpg,2.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,2.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\wheat_thins.jpg,5.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\popchips_ridges_tangy_bbq.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\larabar_peanut_butter_cookie_bar.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg,5.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\kar's_yogurt apple_nut mix.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\kashi_chocolate almond _bars.jpg,3.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\kettle_bbq.jpg,7.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\sun chips_original_chips.jpg,3.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\annie's_chocolate_bunny_grahams.jpg,3.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\eatrageous_bbq.jpg,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\special_k_cracker_chips.jpg,2.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,3.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,6.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\grandmas_chocolate chip_cookies.jpg,6.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\kars_mango pinapple_trail mix.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,5.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\lays_kc masterpiece_barbecue chips.jpg,7.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\jacklinks_beef_steak.jpg,4.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\fig_newtons.jpg,1.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\emerald_cashews.jpg,1.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\ct_crunch_cereal_bar.jpg,5.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\austin_lemon ohs_lemon cookies.jpg,3.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\this_popcorn_is_awesome_popcorn.jpg,4.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\nutrigrain_apple cinnamon_bar.jpg,4.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\this_popcorn_is_awesome_crushed_pepper.jpg,5.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg,7.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\popchips_sea_salt.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\larabar_peanut putter_bar.jpg,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\annie's_cheddar_bunnies.jpg,4.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\this_popcorn_is_awesome_olive_oil.jpg,4.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\m&m's_peanut_butter.jpg,5.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\kars_raisin_almond_cashew_mix.jpg,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,6.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\belvita_banana_bread.jpg,3.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\cheez-it_white_cheddar.JPG,5.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\krave_jerky_chili_lime.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,3.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\jacklinks_beef_stick.jpg,6.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\austin_cheddar cheese_cheese cracker.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\basils_peanut_butter.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\garden_veggie straws_cheddar.jpg,3.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\black_forest_gummies.jpg,3.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\basils_lemon.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\this_popcorn_is_awesome_aged_white_cheddar.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\kars_all_energy.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,6.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\belvita_blueberry.JPG,3.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\eatrageous_mac_n_cheese.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\popchips_ridges_cheddar_sourcream.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\krave_jerky_black_cherry_bbq.jpg,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg,3.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\garden_veggie straws_zesty ranch.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\walkers_highlander_shortbread.jpg,2.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\garden_veggie straws_sea salt.jpg,7.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\boulder_kettle_hickory_bbq.jpg,5.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\homefree_vanilla_minicookies.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\larabar_apple_pie_bar.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\boulder_kettle_olive_oil.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\skittles_original_candy.jpg,6.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\grandmas_chocolate brownie_cookie.jpg,5.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,7.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\jacklinks_small_batch.jpg,4.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\emerald_sriracha_cashews.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\quaker_chewy_peanut butter choc chip.jpg,6.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\basils_duplex_sandwich_cremes.jpg,2.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\cliff_chocolate chip_bar.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\annie's_chocolate_chip_bunny_grahams.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\stonyfield_fruit snacks.jpg,4.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\jacklinks_beef_jerky_original.jpg,6.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\skittles_darkside_candy.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\doritos_nacho cheesier_chips.jpg,6.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\teddy_grahams_chocolate.jpg,3.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\emerald_dark_chocolate_almonds.jpg,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\nabisco_ritz bits_cookies.jpg,4.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,6.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\keebler_chips_deluxe.jpg,5.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\nestle_butterfinger_cups.jpg,1.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\kind_dark_chocolate.jpg,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\fiber one_cinamon_coffee cake.jpg,4.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\nature valley_oats and honey_crunchy.jpg,3.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\boulder_kettle_sea_salt.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,7.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\lance_van-o_cookies.jpg,2.0,
1.5,3.83593039971,$1.5,4.06317915057,2.0,1.0,6,12.0,1.5,n/a,2,1.25 1.0 1.5,,,,6.0
1.5,1.29061442654,$1.75,2.3479297412,1.0,0.0,7,2.0,1.5,2.38983672258,7,0.5 1.75 0.75 1.5,,,,2.0
12.0,6.41887891106e-06,..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,9.43953637034e-06,1.0,1.0,n/a,12.0,1.25,,n/a,..\..\JOCN-master\task a\images\special_k_cracker_chips.jpg ..\..\JOCN-master\task a\images\garden_veggie straws_sea salt.jpg ..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg ..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg ..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\belvita_golden_oats.JPG ..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg ..\..\JOCN-master\task a\images\nestle_butterfinger_cups.jpg ..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg ..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,,,,4.0
6.0,5.66369271837e-06,..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg,1.24601647258e-05,2.0,1.0,n/a,6.0,1.75,,n/a,..\..\JOCN-master\task a\images\baked_lays_classic.jpg ..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg ..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg ..\..\JOCN-master\task a\images\baked_ruffles_cheddar &sour.JPG ..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg ..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,,,,8.0
0.75,1.16985376657,$1.75,1.73195058067,2.0,0.0,5,6.0,0.75,2.67819094809,7,1.5 0.75 1.75 0.5,,,,5.0
12.0,1.77243219304,..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,1.33003730123,1.0,0.0,7,12.0,1.25,2.2868348388,7,..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg ..\..\JOCN-master\task a\images\fiber one_chocolate fudge_ brownie.jpg ..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg ..\..\JOCN-master\task a\images\planters_honey roasted_peanuts.jpg ..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg ..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg ..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg ..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg ..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg,,,,1.0
3.0,6.41887891106e-06,..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,1.28377578221e-05,2.0,1.0,n/a,3.0,1.75,,n/a,..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg ..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,,,,8.0
1.25,2.21156100751,$1.75,0.866030794772,2.0,0.0,7,2.0,1.25,2.6956208511,7,0.75 1.0 1.25 1.75 0.5 1.5,,,,5.0
12.0,1.82431940048,..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,2.09727246672,1.0,0.0,4,12.0,1.0,3.91556755928,5,..\..\JOCN-master\task a\images\emerald_dark_chocolate_almonds.jpg ..\..\JOCN-master\task a\images\grandmas_oatmeal raisin_cookies.jpg ..\..\JOCN-master\task a\images\nature_valley_chewy.jpg ..\..\JOCN-master\task a\images\planters_salted_peanuts.jpg ..\..\JOCN-master\task a\images\emerald_natural_almonds.jpg ..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg ..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg ..\..\JOCN-master\task a\images\teddy_grahams_chocolate.jpg ..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg ..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg ..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg ..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,,,,2.0
1.75,1.65702034821,$1.75,1.39859132009,1.0,0.0,4,3.0,1.75,2.66175446121,7,1.75 0.5 1.25 1.0,,,,1.0
2.0,1.93662677269,..\..\JOCN-master\task a\images\nabisco_nutter butter_bites.jpg,1.2335339674,1.0,0.0,4,2.0,1.5,4.03121992329,4,..\..\JOCN-master\task a\images\nabisco_nutter butter_bites.jpg ..\..\JOCN-master\task a\images\fiber one_oats and choc_chewy bar.jpg,,,,1.0
3.0,1.64579410423,..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,2.50414263207,2.0,0.0,4,3.0,0.5,2.84335515628,4,..\..\JOCN-master\task a\images\skinny_pop_popcorn.jpg ..\..\JOCN-master\task a\images\kettle_original.jpg ..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,,,,5.0
